variant,lut,lut_avail,ff,bram_tiles,bram_avail,dsp,cycles,latency_ns,wns_pp,fmax_pp_MHz,wns_pr,fmax_pr_MHz,power_W,rtl_single,rtl_paired,ir_bram,ir_paired_hint
unpaired,32965.0,230400.0,45322.0,132.5,312.0,0.0,30,92.55000000000001,-0.538,329.1639236339697,-0.585,324.14910858995137,5.353,344,0,344,0
paired,33094.0,230400.0,45236.0,99.5,312.0,0.0,30,79.64999999999999,-0.091,385.95137012736393,-0.155,376.64783427495297,5.397,48,148,344,344
