config,lut,ff,bram,dsp,latency,fits
"bram(8, 6)_dsp11",20295.484222386684,10109.377192052982,37.0,1041.0,10,True
"bram(9, 6)_dsp11",22466.91394205044,9887.712985430464,5.0,1041.0,8,True
"bram(8, 8)_dsp11",22560.896785386543,9905.925218543047,7.5,1041.0,9,True
"bram(9, 8)_dsp11",23013.069991721495,9844.725552317881,1.0,1041.0,8,True
"bram(8, 10)_dsp11",23104.095999999998,9511.326834437086,0.0,1041.0,5,True
"bram(10, 8)_dsp11",23104.095999999998,9511.326834437086,0.0,1041.0,5,True
"bram(10, 6)_dsp11",23104.095999999998,9511.326834437086,0.0,1041.0,5,True
"bram(9, 10)_dsp11",23104.095999999998,9511.326834437086,0.0,1041.0,5,True
"bram(10, 10)_dsp11",23104.095999999998,9511.326834437086,0.0,1041.0,5,True
"bram(4, 4)_dsp-",23729.376000000004,11212.776,153.0,0.0,14,True
"bram(5, 4)_dsp-",23730.743138790072,11212.940074172186,152.5,0.0,14,True
"bram(6, 4)_dsp-",23746.322162211825,11204.57229139073,148.5,0.0,14,True
"bram(7, 4)_dsp-",23962.171121416435,11047.061086092715,130.0,0.0,14,True
"bram(4, 5)_dsp-",24289.712140377385,10867.72801589404,123.5,0.0,13,True
"bram(5, 5)_dsp-",24291.079279167458,10867.892090066225,123.0,0.0,13,True
"bram(6, 5)_dsp-",24299.790814713495,10866.415422516557,121.0,0.0,13,True
"bram(7, 5)_dsp-",24440.733285792303,10782.901668874172,109.5,0.0,12,True
"bram(8, 6)_dsp13",25372.053262806483,10109.377192052982,37.0,377.19442556084294,10,True
"bram(8, 4)_dsp-",26022.41748412946,10245.394680794701,57.0,0.0,11,False
"bram(5, 6)_dsp-",26040.222082325745,10525.633366887418,75.0,0.0,12,False
"bram(4, 6)_dsp-",26040.222082325745,10525.633366887418,75.0,0.0,12,False
"bram(6, 6)_dsp-",26041.93895429467,10525.797441059603,74.5,0.0,12,False
"bram(7, 6)_dsp-",26109.75539706731,10480.020747019867,69.0,0.0,12,False
"bram(8, 5)_dsp-",26213.308211933916,10226.033928476823,52.0,0.0,11,False
"bram(8, 6)_dsp15",27061.650542057654,10109.377192052982,37.0,7.7845003399048265,10,False
"bram(8, 6)_dsp-",27150.116222386685,10109.377192052982,37.0,0.0,10,False
