config,lut,ff,bram,dsp,latency,fits
"bram(4, 4)_dsp-",24181.727,29247.722999999994,483.0,0.0,30,False
"bram(5, 4)_dsp-",24328.796553863613,29198.719822622348,449.5,0.0,30,False
"bram(4, 5)_dsp-",24764.735517653786,29080.717918477334,412.5,0.0,30,False
"bram(5, 5)_dsp-",24862.32132387703,29048.049133558907,395.0,0.0,30,False
"bram(6, 4)_dsp-",25029.152244493125,29247.722999999994,352.5,0.0,30,False
"bram(6, 5)_dsp-",25480.546846344998,29164.361272966762,314.5,0.0,30,False
"bram(4, 6)_dsp-",26366.402326018564,29231.388607540783,307.5,0.0,31,False
"bram(5, 6)_dsp-",26399.048746539742,29244.906725438057,301.5,0.0,31,False
"bram(6, 6)_dsp-",26817.572001744797,29163.234763141983,249.5,0.0,30,False
"bram(7, 4)_dsp-",27898.406300042876,28936.80628836253,167.0,0.0,30,False
"bram(4, 7)_dsp-",27941.72064538003,28397.48970975226,225.0,0.0,31,False
"bram(5, 7)_dsp-",27958.17238485527,28392.42041554078,222.0,0.0,31,False
"bram(7, 5)_dsp-",28059.196347570407,28928.92071958912,159.0,0.0,30,False
"bram(6, 7)_dsp-",28253.500387818007,28270.47572700906,189.5,0.0,30,False
"bram(7, 6)_dsp-",28793.901470815214,28204.574902259814,137.5,0.0,29,False
"bram(7, 7)_dsp-",29695.019794728505,27874.789151057397,114.5,0.0,29,False
"bram(8, 6)_dsp11",30245.369961292425,26698.712893993954,63.0,216.0,28,False
"bram(8, 6)_dsp13",31051.50718828816,26698.712893993954,63.0,88.67368421052632,28,True
"bram(8, 6)_dsp15",31333.30932341918,26698.712893993954,63.0,50.43444976076555,28,True
"bram(8, 4)_dsp-",31377.017362249724,26752.785365583073,66.5,0.0,29,True
"bram(8, 5)_dsp-",31397.45350737912,26755.60164014501,66.0,0.0,29,True
"bram(8, 6)_dsp-",31580.92896129243,26698.712893993954,63.0,0.0,28,True
"bram(8, 7)_dsp-",31963.239110269766,26721.524717945616,58.0,0.0,28,True
"bram(4, 8)_dsp-",32439.24705672717,27434.042182114797,95.5,0.0,29,True
"bram(5, 8)_dsp-",32441.04646573227,27435.168691939572,95.0,0.0,29,True
"bram(6, 8)_dsp-",32520.573917297148,27431.507535009056,87.0,0.0,29,True
"bram(8, 8)_dsp11",32568.278457667395,26094.058745546823,39.5,216.0,27,False
"bram(7, 8)_dsp-",33003.42604443468,26893.59909367975,63.0,0.0,29,True
"bram(9, 6)_dsp11",33207.55063903434,26132.078452132922,23.5,216.0,27,False
"bram(8, 8)_dsp13",33374.41568466313,26094.058745546823,39.5,88.67368421052632,27,True
"bram(8, 8)_dsp15",33656.217819794154,26094.058745546823,39.5,50.43444976076555,27,True
"bram(8, 8)_dsp-",33903.8374576674,26094.058745546823,39.5,0.0,27,False
"bram(9, 6)_dsp13",34013.68786603008,26132.078452132922,23.5,88.67368421052632,27,False
"bram(9, 6)_dsp15",34295.4900011611,26132.078452132922,23.5,50.43444976076555,27,False
"bram(9, 8)_dsp11",34376.491713975214,25998.587037897276,17.0,216.0,26,False
"bram(9, 4)_dsp-",34461.30079390943,26122.503118622353,24.5,0.0,27,False
"bram(9, 5)_dsp-",34481.73693903883,26125.319393184283,24.0,0.0,27,False
"bram(9, 6)_dsp-",34543.10963903435,26132.078452132922,23.5,0.0,27,False
"bram(9, 7)_dsp-",34727.42053284289,26137.992628712986,22.5,0.0,27,False
"bram(10, 6)_dsp11",35057.50375779985,23361.709165558907,9.5,216.0,21,False
"bram(9, 8)_dsp13",35182.62894097095,25998.587037897276,17.0,88.67368421052632,26,False
